Location,Population Estimate (as of July 1) - 2018 - Both Sexes; Total,Population Estimate (as of July 1) - 2018 - Male; Total,Population Estimate (as of July 1) - 2018 - Female; Total,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Male; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Female; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Male; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Female; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Male; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Female; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Male; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Female; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Male; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Female; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Male; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Female; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Male; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Female; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Male; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Female; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Male; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Female; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Male; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Female; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Male; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Female; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Male; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Female; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Male; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Female; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Male; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Female; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Male; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Female; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Male; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Female; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Male; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Female; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Male; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Female; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; Median age (years),Population Estimate (as of July 1) - 2018 - Male; Median age (years),Population Estimate (as of July 1) - 2018 - Female; Median age (years)
Maryland,6042718,2928921,3113797,364504,186178,178326,370444,188926,181518,378506,193072,185434,381504,194403,187101,376550,191893,184657,418434,210517,207917,416178,205130,211048,407402,199196,208206,366399,178218,188181,397341,191395,205946,421586,202160,219426,432313,206275,226038,380421,179175,201246,307278,140655,166623,238174,107251,130923,162850,70911,91939,104431,42980,61451,118403,40586,77817,38.8,37.3,40.3
Massachusetts,6902149,3350528,3551621,360161,184129,176032,370010,189121,180889,389142,198363,190779,455406,228766,226640,494067,245788,248279,507860,256576,251284,485053,241501,243552,440081,217756,222325,400571,195798,204773,443793,215061,228732,477738,231746,245992,492474,238679,253795,446693,213013,233680,367250,171603,195647,286579,130768,155811,193337,84272,109065,132082,54080,78002,159852,53508,106344,39.4,38,40.9
Michigan,9995915,4922143,5073772,572163,292555,279608,586648,300339,286309,619422,316658,302764,653747,333720,320027,694627,354949,339678,694454,355691,338763,602197,304543,297654,599690,298593,301097,563499,279073,284426,629912,311311,318601,660148,325799,334349,716278,350405,365873,686526,330902,355624,571956,272209,299747,432746,202247,230499,302102,136443,165659,195814,82311,113503,213986,74395,139591,39.8,38.4,41.2
Minnesota,5611179,2794801,2816378,355291,181831,173460,360434,184406,176028,370652,188539,182113,357809,182657,175152,360065,182295,177770,376534,193546,182988,384391,195773,188618,383690,195069,188621,326575,165719,160856,336922,170063,166859,354569,177532,177037,394922,196197,198725,359523,177250,182273,294482,143306,151176,215698,102504,113194,153154,69997,83157,104784,45181,59603,121684,42936,78748,38.1,37.2,39
Mississippi,2986530,1447735,1538795,185477,94226,91251,192967,98086,94881,206927,105853,101074,205933,105043,100890,206761,104739,102022,209411,104912,104499,184895,90429,94466,189869,92716,97153,175129,84613,90516,184333,88806,95527,184460,88885,95575,198698,94724,103974,187195,88383,98812,157411,73135,84276,123174,56456,66718,85408,37067,48341,56141,22657,33484,52341,17005,35336,37.7,36.1,39.1
Missouri,6126452,3007563,3118889,372713,190918,181795,377947,193618,184329,391940,199951,191989,391387,200923,190464,409228,209039,200189,426568,215712,210856,396937,198463,198474,394342,196524,197818,350197,173822,176375,369939,182757,187182,381749,187627,194122,430286,209798,220488,399255,191329,207926,332509,156141,176368,260068,120283,139785,185960,83096,102864,123543,51962,71581,131884,45600,86284,38.7,37.4,40.1
Montana,1062305,534852,527453,62536,31959,30577,63526,32675,30851,65281,33564,31717,64023,33236,30787,72513,38226,34287,71120,36872,34248,66343,33935,32408,67394,34717,32677,59002,30080,28922,58886,29794,29092,61392,30602,30790,74523,36440,38083,76864,37260,39604,68722,34234,34488,50861,25530,25331,34678,16957,17721,21946,10109,11837,22695,8662,14033,39.9,38.8,41
Nebraska,1929268,963382,965886,132968,68317,64651,132340,67727,64613,133482,68401,65081,131579,67230,64349,137180,70119,67061,128475,66628,61847,127248,65337,61911,128339,65602,62737,110972,56347,54625,109690,55603,54087,110281,55548,54733,125547,62243,63304,117501,57747,59754,99312,47903,51409,73215,34724,38491,51194,23090,28104,36867,15574,21293,43078,15242,27836,36.6,35.6,37.6
Nevada,3034392,1521555,1512837,185995,95034,90961,191607,98001,93606,197022,100465,96557,181098,93407,87691,182064,93201,88863,227464,115550,111914,217908,111732,106176,210838,106572,104266,192315,96933,95382,201625,101959,99666,193714,98284,95430,194281,97211,97070,182280,88508,93772,160427,76494,83933,132825,63916,68909,88212,42417,45795,51355,23990,27365,43362,17881,25481,38.1,37.5,38.8
New Hampshire,1356458,672266,684192,64020,32922,31098,69360,35537,33823,76114,38839,37275,85131,43267,41864,89682,45935,43747,85844,44995,40849,83231,42401,40830,79847,40311,39536,74827,37155,37672,89868,44547,45321,100374,49602,50772,110921,54345,56576,101594,49890,51704,82879,40389,42490,64054,30660,33394,41515,19320,22195,26709,11528,15181,30488,10623,19865,43,41.6,44.4
