Location,Population Estimate (as of July 1) - 2018 - Both Sexes; Total,Population Estimate (as of July 1) - 2018 - Male; Total,Population Estimate (as of July 1) - 2018 - Female; Total,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Male; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Female; Total - Under 5 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Male; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Female; Total - 5 to 9 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Male; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Female; Total - 10 to 14 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Male; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Female; Total - 15 to 19 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Male; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Female; Total - 20 to 24 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Male; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Female; Total - 25 to 29 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Male; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Female; Total - 30 to 34 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Male; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Female; Total - 35 to 39 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Male; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Female; Total - 40 to 44 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Male; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Female; Total - 45 to 49 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Male; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Female; Total - 50 to 54 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Male; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Female; Total - 55 to 59 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Male; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Female; Total - 60 to 64 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Male; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Female; Total - 65 to 69 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Male; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Female; Total - 70 to 74 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Male; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Female; Total - 75 to 79 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Male; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Female; Total - 80 to 84 years,Population Estimate (as of July 1) - 2018 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Male; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Female; Total - 85 years and over,Population Estimate (as of July 1) - 2018 - Both Sexes; Median age (years),Population Estimate (as of July 1) - 2018 - Male; Median age (years),Population Estimate (as of July 1) - 2018 - Female; Median age (years)
South Carolina,5084127,2463326,2620801,292391,149244,143147,306255,155180,151075,319554,162322,157232,323894,165420,158474,332074,171381,160693,354451,175861,178590,319439,156808,162631,316074,153852,162222,295323,143322,152001,320122,155142,164980,326336,156587,169749,344755,163480,181275,333544,154516,179028,302279,138668,163611,247552,115179,132373,163274,74029,89245,97835,41347,56488,88975,30988,57987,39.6,38.1,41.2
South Dakota,882235,445531,436704,62132,31827,30305,60762,31224,29538,60882,31126,29756,57674,29967,27707,59585,30977,28608,58754,31012,27742,57341,29983,27358,56007,29069,26938,47902,24679,23223,47241,24072,23169,49840,25248,24592,59311,29365,29946,57950,28913,29037,50160,25141,25019,34890,17291,17599,23666,11072,12594,17147,7370,9777,20991,7195,13796,37.1,36.1,38.2
Tennessee,6770010,3302924,3467086,406574,207460,199114,412340,210395,201945,430114,219299,210815,425325,217569,207756,445657,225334,220323,492464,246254,246210,438603,216956,221647,432883,213648,219235,407384,200452,206932,442810,217599,225211,439985,214805,225180,456537,219123,237414,429637,203083,226554,366920,171137,195783,294682,136761,157921,201335,90233,111102,126698,52154,74544,120062,40662,79400,38.8,37.5,40.2
Texas,28701845,14260106,14441739,2024126,1034056,990070,2047747,1043283,1004464,2091419,1067140,1024279,2032343,1038995,993348,1998543,1030026,968517,2159807,1104087,1055720,2076521,1054383,1022138,2030827,1022255,1008572,1850945,924057,926888,1847367,916482,930885,1705590,846139,859451,1712901,839230,873671,1521389,730794,790595,1226455,575843,650612,940074,435873,504201,627316,280605,346711,407976,171925,236051,400499,144933,255566,34.8,33.8,35.8
Utah,3161105,1592143,1568962,253004,129788,123216,259078,132742,126336,266799,137356,129443,248985,126958,122027,260906,134051,126855,247231,126977,120254,217677,109991,107686,231359,117527,113832,203255,103646,99609,172668,87541,85127,149505,75353,74152,155362,76341,79021,144798,70946,73852,119503,57532,61971,90368,42866,47502,62027,28644,33383,40804,18399,22405,37776,15485,22291,31,30.4,31.7
Vermont,626299,309252,317047,29681,15276,14405,31272,16215,15057,33761,17357,16404,42285,21609,20676,46193,23754,22439,37533,19350,18183,36558,18471,18087,36604,18048,18556,33997,16870,17127,38532,19083,19449,42187,20608,21579,48697,23640,25057,47792,23350,24442,41336,19994,21342,31557,15156,16401,20710,9653,11057,13183,5765,7418,14421,5053,9368,42.8,41.3,44.3
Virginia,8517685,4190648,4327037,510924,261793,249131,514457,263477,250980,528362,269658,258704,542284,275429,266855,578812,300165,278647,604186,307824,296362,586120,295342,290778,578634,288300,290334,526249,261041,265208,558081,275013,283068,567303,277039,290264,583042,283026,300016,523830,249559,274271,432802,202442,230360,346236,159495,186741,235193,105163,130030,149278,62744,86534,151892,53138,98754,38.4,37.1,39.7
Washington,7535591,3769911,3765680,462701,237614,225087,466916,238374,228542,462802,236947,225855,447049,228901,218148,481263,251031,230232,589604,307356,282248,563753,289758,273995,536144,273657,262487,466725,236117,230608,474408,239658,234750,459123,229481,229642,491676,242365,249311,469195,227038,242157,401689,191594,210095,307119,144907,162212,198092,92248,105844,123949,54441,69508,133383,48424,84959,37.7,36.7,38.7
West Virginia,1805832,894340,911492,95257,48695,46562,101043,51768,49275,104388,53719,50669,107227,55419,51808,113094,58367,54727,113614,58373,55241,101748,52285,49463,109230,54950,54280,107530,54013,53517,116488,58577,57911,117965,58902,59063,127758,62149,65609,130612,63487,67125,119700,57393,62307,93137,44678,48459,64373,29370,35003,42768,18258,24510,39900,13937,25963,42.7,41.2,44.1
Wisconsin,5813568,2892273,2921295,334382,171036,163346,349799,178917,170882,369348,188956,180392,378418,193230,185188,395921,201013,194908,374435,193420,181015,362942,184584,178358,371797,188315,183482,332919,168401,164518,352344,177384,174960,385213,192156,193057,425757,210643,215114,394820,194865,199955,329181,161017,168164,242442,116405,126037,169120,77104,92016,116094,50093,66001,128636,44734,83902,39.6,38.6,40.7
Wyoming,577737,294534,283203,35912,18633,17279,37847,19407,18440,39104,20078,19026,36313,18934,17379,37966,20104,17862,38879,20222,18657,38899,20240,18659,39158,20295,18863,33555,17470,16085,32540,16815,15725,32340,16474,15866,39394,19714,19680,40455,20329,20126,33583,17087,16496,24585,12288,12297,16203,7795,8408,10323,4648,5675,10681,4001,6680,38,37.3,38.7
Puerto Rico,3195153,1518043,1677110,126621,64719,61902,163105,82505,80600,184834,94142,90692,205289,105006,100283,218348,110620,107728,215642,107461,108181,179107,85917,93190,193463,91276,102187,199040,94230,104810,205928,98017,107911,216303,100503,115800,218120,100331,117789,208138,95438,112700,188840,85428,103412,172973,77819,95154,126496,55804,70692,86807,36884,49923,86099,31943,54156,42.8,40.9,44.5
